throughput_tok_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_mean_ms,hit_rate,req_per_s,pd,conc,policy,sla_pass
2339.2805482556123,1.857046153846568,6.54453846153865,9.042138461538116,14.623599999999746,0.12472538995368226,1.6084466312829846,3:15,48,rr,False
2412.9965482579814,1.263630769230872,3.3939230769232154,5.347215384614628,14.626249999999756,0.2267442059476651,1.6591324081402676,3:15,48,ll,True
2502.022033619214,0.04332307692311588,1.5419076923076318,3.7730615384616613,14.623499999999744,0.7804342780884973,1.7203447078511278,3:15,48,kv-nvda,True
2502.022033619214,0.04332307692311588,1.5419076923076318,3.7730615384616613,14.623499999999744,0.7804342780884973,1.7203447078511278,3:15,48,kv-t-c0.5,True
2495.865491174234,0.04430769230771148,1.5369846153846538,2.8307692307691923,14.622399999999733,0.7801540486198129,1.7161115815750325,3:15,48,kv-t-c0.6,True
2495.828623391662,0.04332307692311588,1.7514000000001033,3.3913923076922856,14.623849999999754,0.7792401080480854,1.7160862319602865,3:15,48,kv-t-c0.7,True
2493.6403201113285,0.04430769230771148,1.8835846153842795,4.188461538459933,14.62499999999975,0.778503706993163,1.7145815945442646,3:15,48,kv-t-c0.8,True
2500.7842213552267,0.04430769230771148,1.822523076923062,4.010769230769256,14.624849999999716,0.7802464695765043,1.7194936107188679,3:15,48,kv-t-c0.9,True
2500.572956305015,0.04430769230771148,1.8077538461539007,4.385738461538267,14.625349999999763,0.7821154267007111,1.7193483487242882,3:15,48,kv-t-c1.0,True
2495.865491174234,0.04430769230771148,1.5369846153846538,2.8307692307691923,14.622399999999733,0.7801540486198129,1.7161115815750325,3:15,48,kv-s1.5-c0.8,True
2502.465409566713,0.04332307692311588,1.621661538461467,4.71806923076997,14.625249999999728,0.7927203321312524,1.720649565064461,3:15,48,kv-s3.0-c0.8,True
2792.9630600931364,14.841923076921603,29.498553846152163,33.769992307692746,14.94255000000029,0.12472538995368226,1.9203904502410052,3:15,96,rr,False
3125.042148007934,8.120799999999917,16.697676923077097,19.214053846153092,14.944050000000287,0.24936178194906897,2.1487219732275835,3:15,96,ll,False
3641.9963645997186,0.05809230769233409,6.3495923076928875,12.519369230769371,14.943750000000284,0.7484221688893716,2.5041702621575412,3:15,96,kv-nvda,False
3641.9963645997186,0.05809230769233409,6.3495923076928875,12.519369230769371,14.943750000000284,0.7484221688893716,2.5041702621575412,3:15,96,kv-t-c0.5,False
3646.613478230611,0.0551384615384336,5.764607692307209,13.548084615384255,14.939800000000291,0.7616798980767998,2.5073449052636865,3:15,96,kv-t-c0.6,False
3650.3293423029436,0.054153846153838,7.098876923076887,13.400646153845969,14.940800000000337,0.7658484255234278,2.5098998656141696,3:15,96,kv-t-c0.7,False
3640.53873682844,0.05021538461539876,5.621592307692708,13.276192307691645,14.943450000000276,0.7746138116159679,2.5031680238923935,3:15,96,kv-t-c0.8,False
3652.2923256000427,0.04923076923080316,4.208799999999542,12.773630769230294,14.946600000000261,0.779409204168847,2.5112495771200587,3:15,96,kv-t-c0.9,True
3640.1878196225407,0.05021538461539876,4.44132307692314,11.836830769230346,14.946150000000301,0.778691971904942,2.50292673962313,3:15,96,kv-t-c1.0,True
3646.613478230611,0.0551384615384336,5.764607692307209,13.548084615384255,14.939800000000291,0.7616798980767998,2.5073449052636865,3:15,96,kv-s1.5-c0.8,False
3641.7156951838338,0.04824615384620756,4.677092307692078,12.435376923076888,14.945650000000306,0.7874425250044328,2.5039772789872154,3:15,96,kv-s3.0-c0.8,True
2803.7809524287577,32.0630000000009,49.21853846153681,59.137430769232196,15.262649999999853,0.12472538995368226,1.927828635668481,3:15,144,rr,False
3063.0172570310206,23.32632307692336,33.0724538461543,38.93350769230801,15.262899999999878,0.23751432810078585,2.106074789664285,3:15,144,ll,False
4278.316382152034,0.08566153846152247,12.969753846153594,24.001430769230637,15.261849999999896,0.7416386988681057,2.9416922983293716,3:15,144,kv-nvda,False
4278.316382152034,0.08566153846152247,12.969753846153594,24.001430769230637,15.261849999999896,0.7416386988681057,2.9416922983293716,3:15,144,kv-t-c0.5,False
4258.844843754989,0.0738461538461479,11.666584615384522,23.384530769230082,15.26569999999984,0.7543879986937838,2.9283040237318767,3:15,144,kv-t-c0.6,False
4259.0222778432935,0.07179230769224887,13.17261538461537,23.24633076923078,15.263399999999882,0.7592799198014296,2.928426024174201,3:15,144,kv-t-c0.7,False
4264.480156000933,0.06057692307695106,11.560238461538688,22.663515384615266,15.263249999999868,0.7661149629985283,2.932178761631517,3:15,144,kv-t-c0.8,False
4267.98310598709,0.06301538461536893,11.325984615384414,22.045246153845937,15.264549999999858,0.7736234240800635,2.9345873261403734,3:15,144,kv-t-c0.9,False
4267.312413668273,0.06006153846152529,8.732015384615579,20.750107692308234,15.261999999999873,0.7820503897311873,2.9341261703368793,3:15,144,kv-t-c1.0,False
