model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,encoder_latency,encoder_memory,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,cp,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
nvidia/Kimi-K2.5-NVFP4,200000,1000,190000,80,1.478,10,80,4524.908,48.501,52977.725,0,0.0,1.478,0.185,1476.383,184.548,20.618,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,176.564,0.01,1.0,9.0,200009.0,200000,9.0,trtllm,1.3.0rc10,gb200,0.0,184.548
nvidia/Kimi-K2.5-NVFP4,200000,1000,190000,72,1.407,9,72,4428.2,45.547,49929.271,0,0.0,1.407,0.176,1405.231,175.654,21.956,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,167.986,0.009,1.0,8.0,200008.0,200000,8.0,trtllm,1.3.0rc10,gb200,0.0,175.654
nvidia/Kimi-K2.5-NVFP4,200000,1000,190000,64,1.34,8,64,4331.51,42.102,46391.162,0,0.0,1.34,0.168,1338.952,167.369,23.752,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,159.408,0.008,1.0,7.0,200007.0,200000,7.0,trtllm,1.3.0rc10,gb200,0.0,167.369
nvidia/Kimi-K2.5-NVFP4,200000,1000,190000,56,1.276,7,56,4234.84,38.241,42438.007,0,0.0,1.276,0.159,1274.308,159.289,26.15,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,150.83,0.007,1.0,6.0,200006.0,200000,6.0,trtllm,1.3.0rc10,gb200,0.0,159.289
nvidia/Kimi-K2.5-NVFP4,200000,1000,190000,48,1.206,6,48,4138.188,34.138,38242.35,0,0.0,1.206,0.151,1204.518,150.565,29.293,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,142.252,0.006,1.0,5.0,200005.0,200000,5.0,trtllm,1.3.0rc10,gb200,0.0,150.565
nvidia/Kimi-K2.5-NVFP4,200000,1000,190000,48,1.205,6,48,4170.888,34.111,38247.28,0,0.0,1.205,0.151,1203.977,150.497,29.316,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,147.502,0.006,1.0,5.0,200005.0,200000,5.0,trtllm,1.3.0rc10,gb200,0.0,150.497
nvidia/Kimi-K2.5-NVFP4,200000,1000,190000,40,1.099,5,40,4073.491,30.668,34710.545,0,0.0,1.099,0.137,1097.953,137.244,32.608,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,138.924,0.005,1.0,4.0,200004.0,200000,4.0,trtllm,1.3.0rc10,gb200,0.0,137.244
nvidia/Kimi-K2.5-NVFP4,200000,1000,190000,32,0.978,4,32,3976.114,26.985,30933.992,0,0.0,0.978,0.122,976.939,122.117,37.058,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,130.346,0.004,1.0,3.0,200003.0,200000,3.0,trtllm,1.3.0rc10,gb200,0.0,122.117
nvidia/Kimi-K2.5-NVFP4,200000,1000,190000,24,0.819,3,24,3878.755,25.473,29326.31,0,0.0,0.819,0.102,818.27,102.284,39.257,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,121.768,0.003,1.0,2.0,200002.0,200000,2.0,trtllm,1.3.0rc10,gb200,0.0,102.284
nvidia/Kimi-K2.5-NVFP4,200000,1000,190000,8,0.321,2,8,3533.583,23.106,26616.393,0,0.0,0.321,0.08,321.03,80.257,43.279,4,1,1,4,2,2,1,tp1pp1dp4etp2ep2,nvfp4,fp8,bfloat16,nvfp4,half,180.742,0.002,1.0,1.0,200001.0,200000,1.0,trtllm,1.3.0rc10,gb200,0.0,80.257
nvidia/Kimi-K2.5-NVFP4,200000,1000,190000,8,0.38,1,8,3684.095,19.106,22771.447,0,0.0,0.38,0.048,380.095,47.512,52.338,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,104.611,0.001,1.0,1.0,200000.0,200000,1.0,trtllm,1.3.0rc10,gb200,0.0,47.512
nvidia/Kimi-K2.5-NVFP4,200000,1000,190000,2,0.109,2,2,1103.36,17.828,18913.272,0,0.0,0.109,0.027,108.73,27.183,56.092,4,4,1,1,2,2,1,tp4pp1dp1etp2ep2,nvfp4,fp8,bfloat16,nvfp4,half,165.12,0.002,1.0,1.0,200001.0,200000,1.0,trtllm,1.3.0rc10,gb200,0.0,27.183000000000003
nvidia/Kimi-K2.5-NVFP4,200000,1000,190000,3,0.163,3,3,762.739,17.73,18474.983,0,0.0,0.163,0.02,162.375,20.297,56.402,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,nvfp4,fp8,bfloat16,nvfp4,half,105.009,0.003,1.0,2.0,200002.0,200000,2.0,trtllm,1.3.0rc10,gb200,0.0,20.297
