model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,encoder_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)cp,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,power_w,tokens/s/gpu_cluster
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,40,0.963,1,1,5,10,40,1,8416.13,34.391,46211.839,0.0,0.963,0.04,1059.3,44.138,29.077,0.214,1.058,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,188.969,trtllm,1.3.0rc10,gb300,1,1,4,2,2,tp1pp1dp4etp2ep2,nvfp4,fp8,fp8,nvfp4,half,195.938,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,44.138
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,24,0.77,1,1,4,3,12,2,8416.13,23.383,34114.047,0.0,0.77,0.032,847.44,35.31,42.766,0.214,0.467,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,188.969,trtllm,1.3.0rc10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,164.305,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,35.31
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,16,0.672,1,1,4,2,16,1,8416.13,19.93,30319.2,0.0,0.672,0.028,738.76,30.782,50.175,0.214,0.73,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,188.969,trtllm,1.3.0rc10,gb300,1,1,8,2,4,tp1pp1dp8etp2ep4,nvfp4,fp8,fp8,nvfp4,half,92.233,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,30.782
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,12,0.571,1,1,3,1,4,3,8416.13,17.611,27770.619,0.0,0.571,0.024,628.452,26.186,56.782,0.214,0.207,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,188.969,trtllm,1.3.0rc10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,155.267,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,26.185999999999996
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,3,0.152,1,1,1,3,3,1,8416.13,16.524,26576.006,0.0,0.152,0.019,166.98,20.873,60.516,0.214,0.165,8,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,188.969,trtllm,1.3.0rc10,gb300,4,1,1,4,1,tp4pp1dp1etp4ep1,nvfp4,fp8,fp8,nvfp4,half,157.87,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,20.873
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,8,0.385,1,1,2,2,2,4,8416.13,14.554,24410.976,0.0,0.385,0.016,423.72,17.655,68.712,0.214,0.125,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,188.969,trtllm,1.3.0rc10,gb300,4,1,1,2,2,tp4pp1dp1etp2ep2,nvfp4,fp8,fp8,nvfp4,half,153.351,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,17.655
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,6,0.348,1,1,2,3,3,2,8416.13,14.449,24295.581,0.0,0.348,0.014,382.536,15.939,69.207,0.214,0.189,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,188.969,trtllm,1.3.0rc10,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,nvfp4,fp8,fp8,nvfp4,half,89.181,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,15.939
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,4,0.259,1,1,2,2,2,2,8416.13,12.906,22599.824,0.0,0.259,0.011,285.384,11.891,77.481,0.214,0.141,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,188.969,trtllm,1.3.0rc10,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,nvfp4,fp8,fp8,nvfp4,half,84.662,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,11.891
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,3,0.193,1,1,1,1,1,3,8416.13,12.196,21819.534,0.0,0.193,0.012,211.86,13.241,81.997,0.214,0.075,16,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,188.969,trtllm,1.3.0rc10,gb300,4,1,1,2,2,tp4pp1dp1etp2ep2,nvfp4,fp8,fp8,nvfp4,half,148.832,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,8.827333333333334
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,2,0.149,1,1,2,1,1,2,8416.13,11.281,20813.949,0.0,0.149,0.006,163.944,6.831,88.648,0.214,0.081,24,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,188.969,trtllm,1.3.0rc10,gb300,8,1,1,2,4,tp8pp1dp1etp2ep4,nvfp4,fp8,fp8,nvfp4,half,80.143,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,6.831
