model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,encoder_latency,encoder_memory,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,cp,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,160,2.676,20,160,2172.821,52.429,59792.247,0,0.0,2.676,0.334,2940.382,367.548,19.073,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,262.346,0.018,1.0,19.0,137019.0,137000,19.0,trtllm,1.3.0rc10,gb300,0.0,367.548
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,160,2.647,20,160,3637.019,50.866,59538.841,0,0.0,2.647,0.331,2909.183,363.648,19.659,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,262.346,0.009,2.0,18.0,274018.0,274000,18.0,trtllm,1.3.0rc10,gb300,0.0,363.64799999999997
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,128,2.451,16,128,2018.386,45.53,52055.682,0,0.0,2.451,0.306,2693.256,336.657,21.964,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,228.033,0.015,1.0,15.0,137015.0,137000,15.0,trtllm,1.3.0rc10,gb300,0.0,336.657
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,128,2.428,16,128,3480.54,43.824,51642.975,0,0.0,2.428,0.304,2668.513,333.564,22.819,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,228.033,0.007,2.0,14.0,274014.0,274000,14.0,trtllm,1.3.0rc10,gb300,0.0,333.564
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,120,2.313,15,120,3480.111,43.064,50807.07,0,0.0,2.313,0.289,2541.972,317.747,23.221,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,219.455,0.007,2.0,13.0,274013.0,274000,13.0,trtllm,1.3.0rc10,gb300,0.0,317.747
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,112,2.283,14,112,1941.279,42.644,48806.489,0,0.0,2.283,0.285,2508.735,313.592,23.45,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,210.877,0.013,1.0,13.0,137013.0,137000,13.0,trtllm,1.3.0rc10,gb300,0.0,313.592
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,112,2.264,14,112,3402.357,40.875,48323.542,0,0.0,2.264,0.283,2487.681,310.96,24.465,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,210.877,0.006,2.0,12.0,274012.0,274000,12.0,trtllm,1.3.0rc10,gb300,0.0,310.96
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,104,2.141,13,104,3401.938,40.057,47424.192,0,0.0,2.141,0.268,2352.682,294.085,24.965,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,202.299,0.006,2.0,11.0,274011.0,274000,11.0,trtllm,1.3.0rc10,gb300,0.0,294.085
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,96,2.095,12,96,1864.245,39.697,45491.423,0,0.0,2.095,0.262,2302.046,287.756,25.191,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,193.721,0.011,1.0,11.0,137011.0,137000,11.0,trtllm,1.3.0rc10,gb300,0.0,287.756
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,96,2.079,12,96,3324.213,37.867,44940.306,0,0.0,2.079,0.26,2284.685,285.586,26.408,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,193.721,0.005,2.0,10.0,274010.0,274000,10.0,trtllm,1.3.0rc10,gb300,0.0,285.586
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,88,2.008,11,88,1825.756,37.863,43436.816,0,0.0,2.008,0.251,2207.153,275.894,26.411,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,185.143,0.01,1.0,10.0,137010.0,137000,10.0,trtllm,1.3.0rc10,gb300,0.0,275.894
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,88,1.96,11,88,3323.803,36.691,43647.292,0,0.0,1.96,0.245,2154.519,269.315,27.255,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,185.143,0.005,2.0,9.0,274009.0,274000,9.0,trtllm,1.3.0rc10,gb300,0.0,269.315
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,80,1.914,10,80,1787.286,36.026,41379.807,0,0.0,1.914,0.239,2103.243,262.905,27.758,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,176.564,0.009,1.0,9.0,137009.0,137000,9.0,trtllm,1.3.0rc10,gb300,0.0,262.905
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,80,1.901,10,80,3246.106,34.134,40759.407,0,0.0,1.901,0.238,2089.238,261.155,29.296,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,176.564,0.005,2.0,8.0,274008.0,274000,8.0,trtllm,1.3.0rc10,gb300,0.0,261.155
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,72,1.731,9,72,3294.842,33.627,40251.0,0,0.0,1.731,0.216,1902.307,237.788,29.738,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,173.236,0.004,2.0,7.0,274007.0,274000,7.0,trtllm,1.3.0rc10,gb300,0.0,237.788
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,64,1.651,8,64,1736.746,33.231,38258.047,0,0.0,1.651,0.206,1814.163,226.77,30.092,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,164.658,0.007,1.0,7.0,137007.0,137000,7.0,trtllm,1.3.0rc10,gb300,0.0,226.77
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,64,1.641,8,64,3215.997,31.252,37562.08,0,0.0,1.641,0.205,1803.954,225.494,31.998,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,164.658,0.004,2.0,6.0,274006.0,274000,6.0,trtllm,1.3.0rc10,gb300,0.0,225.494
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,56,1.541,7,56,1697.739,31.017,35785.206,0,0.0,1.541,0.193,1693.536,211.692,32.241,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,156.08,0.006,1.0,6.0,137006.0,137000,6.0,trtllm,1.3.0rc10,gb300,0.0,211.692
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,56,1.501,7,56,3215.601,29.71,35867.162,0,0.0,1.501,0.188,1650.066,206.258,33.658,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,156.08,0.003,2.0,5.0,274005.0,274000,5.0,trtllm,1.3.0rc10,gb300,0.0,206.258
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,48,1.414,6,48,1658.751,28.829,33341.314,0,0.0,1.414,0.177,1554.298,194.287,34.688,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,147.502,0.005,1.0,5.0,137005.0,137000,5.0,trtllm,1.3.0rc10,gb300,0.0,194.287
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,48,1.408,6,48,3136.785,28.196,34124.12,0,0.0,1.408,0.176,1547.164,193.396,35.466,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,147.502,0.003,2.0,4.0,274004.0,274000,4.0,trtllm,1.3.0rc10,gb300,0.0,193.396
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,40,1.253,5,40,1619.781,26.982,31273.27,0,0.0,1.253,0.157,1377.474,172.184,37.061,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,138.924,0.005,1.0,4.0,137004.0,137000,4.0,trtllm,1.3.0rc10,gb300,0.0,172.184
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,32,1.07,4,32,1580.831,25.156,29226.827,0,0.0,1.07,0.134,1175.83,146.979,39.753,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,130.346,0.004,1.0,3.0,137003.0,137000,3.0,trtllm,1.3.0rc10,gb300,0.0,146.979
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,24,0.88,3,24,1541.899,23.428,27288.902,0,0.0,0.88,0.11,967.377,120.922,42.685,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,121.768,0.003,1.0,2.0,137002.0,137000,2.0,trtllm,1.3.0rc10,gb300,0.0,120.92199999999998
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,16,0.651,2,16,1502.985,21.648,25293.687,0,0.0,0.651,0.081,715.918,89.49,46.195,8,1,1,8,2,4,1,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,113.189,0.002,1.0,1.0,137001.0,137000,1.0,trtllm,1.3.0rc10,gb300,0.0,89.49
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,8,0.372,1,8,1508.573,18.842,22216.206,0,0.0,0.372,0.047,408.899,51.112,53.072,8,1,1,8,4,2,1,tp1pp1dp8etp4ep2,nvfp4,fp8,bfloat16,nvfp4,half,115.111,0.001,1.0,1.0,137000.0,137000,1.0,trtllm,1.3.0rc10,gb300,0.0,51.112
