model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,encoder_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)cp,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,power_w,tokens/s/gpu_cluster
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,640,8.565,1,4,2,40,320,2,1383.973,62.548,70124.225,0.0,8.565,0.357,9421.72,392.572,15.988,5.202,4.655,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,8,1,8,tp1pp1dp8etp1ep8,nvfp4,fp8,fp8,nvfp4,half,263.957,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,392.57199999999995
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,576,8.293,1,4,2,36,288,2,1383.973,58.148,65288.625,0.0,8.293,0.346,9122.168,380.09,17.197,5.202,4.507,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,8,1,8,tp1pp1dp8etp1ep8,nvfp4,fp8,fp8,nvfp4,half,245.881,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,380.09
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,512,7.958,1,4,2,32,256,2,1383.973,53.864,60580.509,0.0,7.958,0.332,8753.8,364.742,18.565,5.202,4.325,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,8,1,8,tp1pp1dp8etp1ep8,nvfp4,fp8,fp8,nvfp4,half,227.805,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,364.742
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,448,7.518,1,4,2,28,224,2,1383.973,49.888,56210.885,0.0,7.518,0.313,8270.064,344.586,20.045,5.202,4.086,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,8,1,8,tp1pp1dp8etp1ep8,nvfp4,fp8,fp8,nvfp4,half,209.728,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,344.586
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,416,7.11,1,4,2,26,208,2,1383.973,48.978,55210.795,0.0,7.11,0.296,7820.736,325.864,20.417,5.202,3.864,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,8,2,4,tp1pp1dp8etp2ep4,nvfp4,fp8,fp8,nvfp4,half,200.69,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,325.864
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,352,6.795,1,4,2,22,176,2,1383.973,43.362,49038.811,0.0,6.795,0.283,7474.632,311.443,23.062,5.202,3.693,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,8,1,8,tp1pp1dp8etp1ep8,nvfp4,fp8,fp8,nvfp4,half,182.614,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,311.443
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,288,6.239,1,4,2,18,144,2,1383.973,38.635,43843.838,0.0,6.239,0.26,6863.384,285.974,25.883,5.202,3.391,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,8,1,8,tp1pp1dp8etp1ep8,nvfp4,fp8,fp8,nvfp4,half,164.538,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,285.974
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,256,5.61,1,4,2,16,128,2,1383.973,38.194,43359.179,0.0,5.61,0.234,6171.176,257.132,26.182,5.202,3.049,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,8,2,4,tp1pp1dp8etp2ep4,nvfp4,fp8,fp8,nvfp4,half,155.5,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,257.132
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,224,5.408,1,4,2,14,112,2,1383.973,34.675,39491.798,0.0,5.408,0.225,5948.536,247.856,28.84,5.202,2.939,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,8,1,8,tp1pp1dp8etp1ep8,nvfp4,fp8,fp8,nvfp4,half,146.462,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,247.856
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,200,4.682,1,4,1,10,40,5,1383.973,34.391,39179.682,0.0,4.682,0.195,5149.98,214.582,29.077,5.202,1.058,24,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,158.901,trtllm,1.3.0rc10,gb300,1,1,4,2,2,tp1pp1dp4etp2ep2,nvfp4,fp8,fp8,nvfp4,half,195.938,trtllm,1.3.0rc10,gb300,0,0,0,,0.0,0.0,214.582
