model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,encoder_latency,encoder_memory,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,cp,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,96,0.498,24,96,28618.022,175.016,220960.478,0,0.0,0.498,0.124,547.256,136.814,5.714,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,265.838,0.584,1.0,23.0,5143.0,5120,23.0,sglang,0.5.10,gb300,0.0,136.814
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,80,0.48,20,80,28594.875,151.313,194888.119,0,0.0,0.48,0.12,527.146,131.786,6.609,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,247.757,0.487,1.0,19.0,5139.0,5120,19.0,sglang,0.5.10,gb300,0.0,131.786
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,64,0.457,16,64,28571.728,126.859,167990.298,0,0.0,0.457,0.114,502.549,125.637,7.883,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,229.676,0.389,1.0,15.0,5135.0,5120,15.0,sglang,0.5.10,gb300,0.0,125.637
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,60,0.453,15,60,28565.941,120.074,160527.523,0,0.0,0.453,0.113,497.604,124.401,8.328,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,225.156,0.365,1.0,14.0,5134.0,5120,14.0,sglang,0.5.10,gb300,0.0,124.401
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,56,0.448,14,56,28560.155,113.22,152989.411,0,0.0,0.448,0.112,492.367,123.092,8.832,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,220.636,0.341,1.0,13.0,5133.0,5120,13.0,sglang,0.5.10,gb300,0.0,123.092
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,52,0.443,13,52,28554.368,106.278,145354.126,0,0.0,0.443,0.111,486.862,121.715,9.409,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,216.116,0.316,1.0,12.0,5132.0,5120,12.0,sglang,0.5.10,gb300,0.0,121.71499999999999
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,48,0.437,12,48,28548.581,99.486,137883.392,0,0.0,0.437,0.109,479.874,119.969,10.052,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,211.596,0.292,1.0,11.0,5131.0,5120,11.0,sglang,0.5.10,gb300,0.0,119.969
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,44,0.429,11,44,28542.794,92.681,130398.751,0,0.0,0.429,0.107,471.934,117.984,10.79,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,207.075,0.268,1.0,10.0,5130.0,5120,10.0,sglang,0.5.10,gb300,0.0,117.984
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,40,0.421,10,40,28537.008,85.827,122861.302,0,0.0,0.421,0.105,463.003,115.751,11.651,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,202.555,0.243,1.0,9.0,5129.0,5120,9.0,sglang,0.5.10,gb300,0.0,115.75100000000002
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,36,0.412,9,36,28531.221,78.92,115264.813,0,0.0,0.412,0.103,452.842,113.21,12.671,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,198.035,0.219,1.0,8.0,5128.0,5120,8.0,sglang,0.5.10,gb300,0.0,113.21
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,32,0.4,8,32,28525.434,72.202,107875.796,0,0.0,0.4,0.1,439.609,109.902,13.85,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,193.515,0.195,1.0,7.0,5127.0,5120,7.0,sglang,0.5.10,gb300,0.0,109.902
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,28,0.389,7,28,28519.647,64.928,99875.082,0,0.0,0.389,0.097,427.283,106.821,15.402,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,188.995,0.17,1.0,6.0,5126.0,5120,6.0,sglang,0.5.10,gb300,0.0,106.82099999999998
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,24,0.375,6,24,28513.86,57.671,91893.748,0,0.0,0.375,0.094,411.761,102.94,17.34,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,184.474,0.146,1.0,5.0,5125.0,5120,5.0,sglang,0.5.10,gb300,0.0,102.94
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,20,0.358,5,20,28508.074,50.268,83752.923,0,0.0,0.358,0.089,392.948,98.237,19.893,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,179.954,0.122,1.0,4.0,5124.0,5120,4.0,sglang,0.5.10,gb300,0.0,98.23700000000001
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,16,0.334,4,16,28502.287,42.923,75674.866,0,0.0,0.334,0.084,367.263,91.816,23.297,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,175.434,0.097,1.0,3.0,5123.0,5120,3.0,sglang,0.5.10,gb300,0.0,91.81599999999999
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,12,0.308,3,12,28496.5,34.809,66751.88,0,0.0,0.308,0.077,338.351,84.588,28.728,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,170.914,0.073,1.0,2.0,5122.0,5120,2.0,sglang,0.5.10,gb300,0.0,84.588
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,12,0.308,3,12,29129.005,34.762,67332.001,0,0.0,0.308,0.077,338.09,84.523,28.767,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,171.511,0.066,1.0,2.0,5634.0,5632,2.0,sglang,0.5.10,gb300,0.0,84.523
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,4,0.305,1,4,27351.712,11.73,40243.332,0,0.0,0.305,0.076,335.106,83.777,85.249,4,1,1,4,1,4,1,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,160.678,0.03,1.0,1.0,4096.0,4096,1.0,sglang,0.5.10,gb300,0.0,83.777
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,2,0.163,1,2,25552.184,11.105,37756.832,0,0.0,0.163,0.041,179.054,44.764,90.048,4,2,1,2,1,4,1,tp2pp1dp2etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,152.655,0.081,1.0,1.0,1536.0,1536,1.0,sglang,0.5.10,gb300,0.0,44.764
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,1,0.106,1,1,24818.125,8.582,34249.413,0,0.0,0.106,0.026,115.958,28.989,116.527,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,149.857,0.122,1.0,1.0,1024.0,1024,1.0,sglang,0.5.10,gb300,0.0,28.989
nvidia/Kimi-K2.5-NVFP4,137000,1100,0,1,0.117,1,1,18629.232,7.72,27113.968,0,0.0,0.117,0.015,128.998,16.125,129.527,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,81.074,0.122,1.0,1.0,1024.0,1024,1.0,sglang,0.5.10,gb300,0.0,16.125
