model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,encoder_latency,encoder_memory,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,cp,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,96,1.737,24,96,1991.791,48.604,55407.49,0,0.0,1.737,0.217,1908.62,238.578,20.574,8,2,1,4,1,8,1,tp2pp1dp4etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,274.332,0.022,1.0,23.0,137023.0,137000,23.0,sglang,0.5.10,gb300,0.0,238.578
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,56,1.689,7,56,2740.585,26.819,32214.518,0,0.0,1.689,0.211,1856.113,232.014,37.287,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,275.335,0.006,1.0,6.0,137006.0,137000,6.0,sglang,0.5.10,gb300,0.0,232.014
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,48,1.593,6,48,2677.638,24.062,29121.261,0,0.0,1.593,0.199,1750.712,218.839,41.56,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,270.815,0.005,1.0,5.0,137005.0,137000,5.0,sglang,0.5.10,gb300,0.0,218.83900000000003
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,40,1.456,5,40,2614.723,21.641,26397.96,0,0.0,1.456,0.182,1599.984,199.998,46.209,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,266.294,0.005,1.0,4.0,137004.0,137000,4.0,sglang,0.5.10,gb300,0.0,199.99799999999996
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,32,1.291,4,32,2551.837,19.197,23648.818,0,0.0,1.291,0.161,1418.466,177.308,52.093,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,261.774,0.004,1.0,3.0,137003.0,137000,3.0,sglang,0.5.10,gb300,0.0,177.308
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,24,1.09,3,24,2488.983,17.79,22040.153,0,0.0,1.09,0.136,1197.692,149.711,56.211,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,257.254,0.003,1.0,2.0,137002.0,137000,2.0,sglang,0.5.10,gb300,0.0,149.711
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,16,0.837,2,16,2426.159,16.261,20296.706,0,0.0,0.837,0.105,919.919,114.99,61.498,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,252.734,0.002,1.0,1.0,137001.0,137000,1.0,sglang,0.5.10,gb300,0.0,114.99
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,6,0.325,3,6,1254.761,15.665,18470.343,0,0.0,0.325,0.081,357.308,89.327,63.838,4,2,1,2,1,4,1,tp2pp1dp2etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,246.971,0.003,1.0,2.0,137002.0,137000,2.0,sglang,0.5.10,gb300,0.0,89.327
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,5,0.29,5,5,672.573,14.838,16979.42,0,0.0,0.29,0.073,318.773,79.693,67.395,4,1,1,1,1,4,4,tp1pp1dp1etp1ep4cp4,nvfp4,fp8,bfloat16,nvfp4,half,258.118,0.005,1.0,4.0,137004.0,137000,4.0,sglang,0.5.10,gb300,0.0,79.693
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,8,0.532,1,8,2363.366,12.564,16170.837,0,0.0,0.532,0.066,584.134,73.017,79.595,8,1,1,8,1,8,1,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,248.213,0.001,1.0,1.0,137000.0,137000,1.0,sglang,0.5.10,gb300,0.0,73.017
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,3,0.223,3,3,644.93,11.654,13452.789,0,0.0,0.223,0.056,245.292,61.323,85.807,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,211.091,0.003,1.0,2.0,137002.0,137000,2.0,sglang,0.5.10,gb300,0.0,61.323
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,2,0.173,2,2,628.671,10.246,11888.738,0,0.0,0.173,0.043,189.77,47.442,97.602,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,206.571,0.002,1.0,1.0,137001.0,137000,1.0,sglang,0.5.10,gb300,0.0,47.442
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,3,0.268,3,3,357.484,9.877,11212.835,0,0.0,0.268,0.033,294.297,36.787,101.24,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,129.78,0.003,1.0,2.0,137002.0,137000,2.0,sglang,0.5.10,gb300,0.0,36.787
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,1,0.103,1,1,612.418,8.582,10043.706,0,0.0,0.103,0.026,112.676,28.169,116.527,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,202.052,0.001,1.0,1.0,137000.0,137000,1.0,sglang,0.5.10,gb300,0.0,28.169
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,1,0.115,1,1,339.468,7.72,8824.204,0,0.0,0.115,0.014,126.855,15.857,129.527,8,8,1,1,1,8,1,tp8pp1dp1etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,120.742,0.001,1.0,1.0,137000.0,137000,1.0,sglang,0.5.10,gb300,0.0,15.857
