model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,encoder_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)cp,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,power_w,tokens/s/gpu_cluster
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,320,4.264,1,1,1,40,320,1,341.073,62.824,69384.649,0.0,4.264,0.474,4690.62,521.18,15.918,5.277,4.635,9,1,1,1,1,8,8,tp1pp1dp1etp1ep8cp8,nvfp4,fp8,bfloat16,nvfp4,half,90.398,sglang,0.5.10,gb300,1,1,8,1,8,tp1pp1dp8etp1ep8,nvfp4,fp8,fp8,nvfp4,half,264.69,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,390.885
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,288,4.135,1,1,1,36,288,1,341.073,58.299,64411.674,0.0,4.135,0.459,4548.94,505.438,17.153,5.277,4.495,9,1,1,1,1,8,8,tp1pp1dp1etp1ep8cp8,nvfp4,fp8,bfloat16,nvfp4,half,90.398,sglang,0.5.10,gb300,1,1,8,1,8,tp1pp1dp8etp1ep8,nvfp4,fp8,fp8,nvfp4,half,246.613,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,379.0785
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,208,4.125,1,1,1,26,104,2,341.073,42.206,46725.467,0.0,4.125,0.458,4537.808,504.201,23.694,5.277,2.242,9,1,1,1,1,8,8,tp1pp1dp1etp1ep8cp8,nvfp4,fp8,bfloat16,nvfp4,half,90.398,sglang,0.5.10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,268.976,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,378.15075
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,192,4.042,1,1,1,24,96,2,341.073,39.757,44034.016,0.0,4.042,0.449,4446.728,494.081,25.153,5.277,2.197,9,1,1,1,1,8,8,tp1pp1dp1etp1ep8cp8,nvfp4,fp8,bfloat16,nvfp4,half,90.398,sglang,0.5.10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,259.938,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,370.56075000000004
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,144,3.691,1,1,1,18,72,2,341.073,32.665,36239.908,0.0,3.691,0.41,4060.144,451.127,30.613,5.277,2.006,9,1,1,1,1,8,8,tp1pp1dp1etp1ep8cp8,nvfp4,fp8,bfloat16,nvfp4,half,90.398,sglang,0.5.10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,232.823,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,338.34525
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,120,3.459,1,1,1,15,60,2,341.073,29.038,32253.835,0.0,3.459,0.384,3805.12,422.791,34.438,5.277,1.88,9,1,1,1,1,8,8,tp1pp1dp1etp1ep8cp8,nvfp4,fp8,bfloat16,nvfp4,half,90.398,sglang,0.5.10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,219.266,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,317.09325
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,88,3.01,1,1,1,11,44,2,370.924,24.47,27263.454,0.0,3.01,0.334,3311.264,367.918,40.866,4.853,1.636,9,1,1,1,4,2,8,tp1pp1dp1etp4ep2cp8,nvfp4,fp8,bfloat16,nvfp4,half,91.504,sglang,0.5.10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,201.19,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,275.93850000000003
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,80,2.595,1,1,1,10,80,1,624.422,24.333,27366.389,0.0,2.595,0.288,2854.17,317.13,41.096,2.883,2.992,9,1,1,1,8,1,8,tp1pp1dp1etp8ep1cp8,nvfp4,fp8,bfloat16,nvfp4,half,92.978,sglang,0.5.10,gb300,1,1,8,8,1,tp1pp1dp8etp8ep1,nvfp4,fp8,fp8,nvfp4,half,129.118,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,237.8475
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,112,4.747,1,1,1,7,28,4,341.073,19.754,22050.719,0.0,4.747,0.279,5221.92,307.172,50.623,5.277,1.29,17,1,1,1,1,8,8,tp1pp1dp1etp1ep8cp8,nvfp4,fp8,bfloat16,nvfp4,half,90.398,sglang,0.5.10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,183.114,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,217.5801666666667
nvidia/Kimi-K2.5-NVFP4,137000,1100,133000,96,4.309,1,1,1,6,24,4,341.073,18.651,20838.522,0.0,4.309,0.253,4740.208,278.836,53.617,5.277,1.171,17,1,1,1,1,8,8,tp1pp1dp1etp1ep8cp8,nvfp4,fp8,bfloat16,nvfp4,half,90.398,sglang,0.5.10,gb300,1,1,4,4,1,tp1pp1dp4etp4ep1,nvfp4,fp8,fp8,nvfp4,half,178.595,sglang,0.5.10,gb300,0,0,0,,0.0,0.0,197.50883333333334
