run,start_utc,arm,topology,router,conc,dur_s,requests,good_requests,out_tok_s,out_tok_s_per_gpu,req_s,ttft_p50_s,ttft_p90_s,ttft_p95_s,ttft_p99_s,itl_avg_ms,isl_avg,osl_avg,errors,protocol,validity
1786437783_alisachen-sgl-disagg72-kv-bench,2026-08-11 08:43,KV,6P:12D,kv defaults,192,1859,5561.0,326.0,3129,43.5,2.99,54.96,80.38,86.14,92.52,9.9,66571,1046,0,"pre-native-loader (mooncake conv.), 1800s",INVALID (0% wire-level reuse; pre-9c1284f)
1786437783_alisachen-sgl-disagg72-kv-bench,2026-08-11 08:43,KV,6P:12D,kv defaults,96,1859,5389.0,229.0,3048,42.3,2.9,22.17,33.13,36.59,43.73,10.7,66373,1052,0,"pre-native-loader (mooncake conv.), 1800s",INVALID (0% wire-level reuse; pre-9c1284f)
1786437882_alisachen-sgl-disagg72-rr-bench,2026-08-11 08:44,RR,6P:12D,round-robin,192,1860,5401.0,356.0,3029,42.1,2.9,48.28,97.2,120.32,134.2,10.2,66456,1043,45,"pre-native-loader (mooncake conv.), 1800s",INVALID (pre-9c1284f)
1786437882_alisachen-sgl-disagg72-rr-bench,2026-08-11 08:44,RR,6P:12D,round-robin,96,1853,5178.0,525.0,2930,40.7,2.78,18.02,43.81,54.93,80.26,10.9,66386,1052,0,"pre-native-loader (mooncake conv.), 1800s",INVALID (pre-9c1284f)
1786465823_alisachen-sgl-disagg72-rr-bench,2026-08-11 16:30,RR,6P:12D,round-robin,192,1858,6406.0,927.0,2970,41.2,3.43,12.6,299.81,341.3,390.06,10.5,61533,867,0,"native loader, 900s warmup, 1800s; pre-rebuild cluster",pre-rebuild (Aug 11); GDR path unknown
1786465823_alisachen-sgl-disagg72-rr-bench,2026-08-11 16:30,RR,6P:12D,round-robin,288,1859,6502.0,560.0,2964,41.2,3.48,32.51,336.08,359.98,404.93,10.6,59100,852,0,"native loader, 900s warmup, 1800s; pre-rebuild cluster",pre-rebuild (Aug 11); GDR path unknown
1786465823_alisachen-sgl-disagg72-rr-bench,2026-08-11 16:30,RR,6P:12D,round-robin,384,1860,6644.0,231.0,2878,40.0,3.55,147.13,290.33,306.53,344.91,10.3,56382,810,0,"native loader, 900s warmup, 1800s; pre-rebuild cluster",pre-rebuild (Aug 11); GDR path unknown
1786465823_alisachen-sgl-disagg72-rr-bench,2026-08-11 16:30,RR,6P:12D,round-robin,96,1858,5025.0,618.0,2686,37.3,2.69,14.12,72.09,182.25,276.98,10.5,78541,1000,0,"native loader, 900s warmup, 1800s; pre-rebuild cluster",pre-rebuild (Aug 11); GDR path unknown
1786466333_alisachen-sgl-disagg72-kv-bench,2026-08-11 16:38,KV,6P:12D,kv defaults,192,1858,6024.0,0.0,2861,39.7,3.22,91.9,137.9,145.94,190.97,11.2,56849,888,0,"native loader, 900s warmup, 1800s; pre-rebuild cluster",pre-rebuild (Aug 11); GDR path unknown
1786466333_alisachen-sgl-disagg72-kv-bench,2026-08-11 16:38,KV,6P:12D,kv defaults,96,1860,10018.0,171.0,4837,67.2,5.36,3.2,51.55,73.6,118.61,19.0,76689,903,0,"native loader, 900s warmup, 1800s; pre-rebuild cluster",pre-rebuild (Aug 11); GDR path unknown
